id_folha,pai_id,nivel,codigo_folha,descricao_folha,caminho_codigo,profundidade,empresa_id,departamento_id,categoria_id,sub_categoria_id,segmento_id,sub_segmento_id,codigo_departamento_id,codigo_categoria_id,codigo_sub_categoria_id,codigo_segmento_id,codigo_sub_segmento_id,descricao_departamento_id,descricao_categoria_id,descricao_sub_categoria_id,descricao_segmento_id,descricao_sub_segmento_id
55765,55092,3,108,CABELOS ESCUROS,29 > 1 > 108,3,633,54963,55092,55765,,,29,1,108,,,SHAMPO,SHAMPO,CABELOS ESCUROS,,
55766,55092,3,110,CABELOS CACHEADOS,29 > 1 > 110,3,633,54963,55092,55766,,,29,1,110,,,SHAMPO,SHAMPO,CABELOS CACHEADOS,,
55767,55092,3,114,CABELOS LONGOS,29 > 1 > 114,3,633,54963,55092,55767,,,29,1,114,,,SHAMPO,SHAMPO,CABELOS LONGOS,,
55768,55092,3,121,CABELOS TINGIDOS,29 > 1 > 121,3,633,54963,55092,55768,,,29,1,121,,,SHAMPO,SHAMPO,CABELOS TINGIDOS,,
55769,55092,3,126,CABELOS ENCARACOLADOS,29 > 1 > 126,3,633,54963,55092,55769,,,29,1,126,,,SHAMPO,SHAMPO,CABELOS ENCARACOLADOS,,
55770,55092,3,127,CABELOS TODOS TIPOS,29 > 1 > 127,3,633,54963,55092,55770,,,29,1,127,,,SHAMPO,SHAMPO,CABELOS TODOS TIPOS,,
55840,55092,3,585,INFANTIL,29 > 1 > 585,3,633,54963,55092,55840,,,29,1,585,,,SHAMPO,SHAMPO,INFANTIL,,
55760,55092,3,77,CABELOS SECOS,29 > 1 > 77,3,633,54963,55092,55760,,,29,1,77,,,SHAMPO,SHAMPO,CABELOS SECOS,,
55761,55092,3,79,CABELOS NORMAIS,29 > 1 > 79,3,633,54963,55092,55761,,,29,1,79,,,SHAMPO,SHAMPO,CABELOS NORMAIS,,
55762,55092,3,88,ANTICASPA,29 > 1 > 88,3,633,54963,55092,55762,,,29,1,88,,,SHAMPO,SHAMPO,ANTICASPA,,
55133,54963,2,2,SH.MEDICINAIS,29 > 2,2,633,54963,55133,,,,29,2,,,,SHAMPO,SH.MEDICINAIS,,,
55698,55093,3,1,MASC,30 > 1 > 1,3,633,54964,55093,55698,,,30,1,1,,,DESODORANTE,AERO,MASC,,
55721,55093,3,2,FEM,30 > 1 > 2,3,633,54964,55093,55721,,,30,1,2,,,DESODORANTE,AERO,FEM,,
55759,55093,3,61,AEROSOL,30 > 1 > 61,3,633,54964,55093,55759,,,30,1,61,,,DESODORANTE,AERO,AEROSOL,,
55758,55134,3,60,SPRAY,30 > 2 > 60,3,633,54964,55134,55758,,,30,2,60,,,DESODORANTE,SPRAY,SPRAY,,
55699,55168,3,1,MASC,30 > 3 > 1,3,633,54964,55168,55699,,,30,3,1,,,DESODORANTE,ROLL ON,MASC,,
55773,55168,3,199,ROLL ON,30 > 3 > 199,3,633,54964,55168,55773,,,30,3,199,,,DESODORANTE,ROLL ON,ROLL ON,,
55722,55168,3,2,FEM,30 > 3 > 2,3,633,54964,55168,55722,,,30,3,2,,,DESODORANTE,ROLL ON,FEM,,
55772,55197,3,197,CREME,30 > 4 > 197,3,633,54964,55197,55772,,,30,4,197,,,DESODORANTE,CREME,CREME,,
55217,54964,2,5,DESOD.COLONIAS,30 > 5,2,633,54964,55217,,,,30,5,,,,DESODORANTE,DESOD.COLONIAS,,,
54894,54880,2,1,HORTI,3 > 1,2,633,54880,54894,,,,3,1,,,,HORTIFRUTI,HORTI,,,
47264,47196,4,1,7CM,3 > 10 > 1 > 1,4,633,46386,47190,47196,47264,,3,10,1,1,,HIGIENE / SAUDE / BELEZA,CUIDADO BELEZA,PINCA,7CM,
47285,47196,4,2,MERHEJE,3 > 10 > 1 > 2,4,633,46386,47190,47196,47285,,3,10,1,2,,HIGIENE / SAUDE / BELEZA,CUIDADO BELEZA,PINCA,MERHEJE,
47265,47203,4,1,BASE FACIAL,3 > 10 > 2 > 1,4,633,46386,47190,47203,47265,,3,10,2,1,,HIGIENE / SAUDE / BELEZA,CUIDADO BELEZA,MAQUIAGEM,BASE FACIAL,
47286,47203,4,2,BRILHO LABIAL,3 > 10 > 2 > 2,4,633,46386,47190,47203,47286,,3,10,2,2,,HIGIENE / SAUDE / BELEZA,CUIDADO BELEZA,MAQUIAGEM,BRILHO LABIAL,
47299,47203,4,3,PINCEL,3 > 10 > 2 > 3,4,633,46386,47190,47203,47299,,3,10,2,3,,HIGIENE / SAUDE / BELEZA,CUIDADO BELEZA,MAQUIAGEM,PINCEL,
55476,55028,3,1,FERMENTO,3 > 1 > 1,3,633,54937,55028,55476,,,3,1,1,,,FARINACEOS,FAR TRIGO,FERMENTO,,
46618,46596,4,1,160G,3 > 1 > 10 > 1,4,633,46386,46387,46596,46618,,3,1,10,1,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,ALISANTE / DEFRIZANTE,160G,
46636,46596,4,2,180G,3 > 1 > 10 > 2,4,633,46386,46387,46596,46636,,3,1,10,2,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,ALISANTE / DEFRIZANTE,180G,
46649,46596,4,3,215G,3 > 1 > 10 > 3,4,633,46386,46387,46596,46649,,3,1,10,3,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,ALISANTE / DEFRIZANTE,215G,
46658,46596,4,4,218G,3 > 1 > 10 > 4,4,633,46386,46387,46596,46658,,3,1,10,4,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,ALISANTE / DEFRIZANTE,218G,
46665,46596,4,5,80G,3 > 1 > 10 > 5,4,633,46386,46387,46596,46665,,3,1,10,5,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,ALISANTE / DEFRIZANTE,80G,
46521,46396,4,1,1,3 > 1 > 1 > 1,4,633,46386,46387,46396,46521,,3,1,1,1,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,TINTURA,1,
55700,55094,3,1,NIVEA 90G,31 > 1 > 1,3,633,54965,55094,55700,,,31,1,1,,,SABONETES,SABONETE ADULTO,NIVEA 90G,,
46530,46396,4,10,"8,2",3 > 1 > 1 > 10,4,633,46386,46387,46396,46530,,3,1,1,10,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,TINTURA,"8,2",
46531,46396,4,11,"8,3",3 > 1 > 1 > 11,4,633,46386,46387,46396,46531,,3,1,1,11,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,TINTURA,"8,3",
46619,46597,4,1,180G,3 > 1 > 11 > 1,4,633,46386,46387,46597,46619,,3,1,11,1,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,GEL/MOUSSE/FIXADOR CABELO,180G,
47371,47266,5,1,05UN,3 > 11 > 1 > 1 > 1,5,633,46386,47191,47197,47266,47371,3,11,1,1,1,HIGIENE / SAUDE / BELEZA,HIGIENE IDOSO,FRALDA ADULTO,EG,05UN
47379,47266,5,2,7UN,3 > 11 > 1 > 1 > 2,5,633,46386,47191,47197,47266,47379,3,11,1,1,2,HIGIENE / SAUDE / BELEZA,HIGIENE IDOSO,FRALDA ADULTO,EG,7UN
46532,46396,4,12,"8,34",3 > 1 > 1 > 12,4,633,46386,46387,46396,46532,,3,1,1,12,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,TINTURA,"8,34",
46637,46597,4,2,220G,3 > 1 > 11 > 2,4,633,46386,46387,46597,46637,,3,1,11,2,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,GEL/MOUSSE/FIXADOR CABELO,220G,
47545,47474,5,1,06UN,3 > 11 > 1 > 2 > 1,5,633,46386,47191,47197,47474,47545,3,11,1,2,1,HIGIENE / SAUDE / BELEZA,HIGIENE IDOSO,FRALDA ADULTO,G,06UN
